,Pagaya Opportunity Fund,Riverview ALF
,PX_LAST,PX_LAST
Date,,
2018-09-28,105.47449304121544,100.0
2018-10-31,106.17062469528746,100.12
2018-11-30,106.9987555679107,100.73
2018-12-31,107.66214785243174,101.28999999999999
2019-01-31,108.42654910218403,101.83
2019-02-28,109.08795105170735,102.34
2019-03-29,109.80793152864861,102.95
2019-04-30,110.52168308358482,103.44
2019-05-31,111.37270004332842,105.37
2019-06-28,111.9741126235624,106.15
2019-07-31,112.67954953309085,107.92999999999999
2019-08-30,113.40069865010263,108.67
2019-09-30,114.01306242281319,109.59
2019-10-31,114.84535777849973,110.17999999999999
2019-11-29,115.56888353250427,111.32
2019-12-31,116.29696749875905,111.91
2020-01-31,117.07615718100072,112.51
2020-02-28,117.84885981839533,113.65
2020-03-31,118.62666229319673,107.52
2020-04-30,121.82958217511303,107.66
2020-05-29,123.3037201194319,109.02000000000001
2020-06-30,125.96708047401164,111.91
2020-07-31,126.96222040975633,113.58999999999999
2020-08-31,128.71429905141096,115.21
2020-09-30,129.5123277055297,116.48
2020-10-30,130.38006030115676,118.30000000000001
2020-11-30,131.4100627775359,120.02
2020-12-31,132.44820227347844,125.56
2021-01-29,133.54752235234832,130.14999999999998
2021-02-26,134.5624835222262,133.53
2021-03-31,135.32948967830288,145.22
2021-04-30,136.08733482050138,145.32
2021-05-31,136.8494238954962,148.31780627999999
2021-06-30,137.7389451508169,151.3774543057501
