;MesAno;data;Product;FinancialPrice;Mes_nomial;Mes;Ano;Retorno_1;Retorno
17;06-2021;2021-06-30;IBOXHY Index;327,8421;Jun;6;2021;;
14;05-2021;2021-05-31;IBOXHY Index;324,3575;May;5;2021;1,010743;0,010743022
11;04-2021;2021-04-30;IBOXHY Index;323,4912;Apr;4;2021;1,002678;0,0026780367
8;03-2021;2021-03-31;IBOXHY Index;320,4632;Mar;3;2021;1,0094489;0,009448886
5;02-2021;2021-02-26;IBOXHY Index;321,9456;Feb;2;2021;0,99539554;-0,004604459
2;01-2021;2021-01-29;IBOXHY Index;319,9457;Jan;1;2021;1,0062506;0,00625062
33;12-2020;2020-12-31;IBOXHY Index;318,1657;Dec;12;2020;1,0055946;0,005594611
30;11-2020;2020-11-30;IBOXHY Index;312,8995;Nov;11;2020;1,0168303;0,016830325
27;10-2020;2020-10-30;IBOXHY Index;305,6244;Oct;10;2020;1,0238041;0,023804069
24;09-2020;2020-09-30;IBOXHY Index;305,023;Sep;9;2020;1,0019716;0,0019716024
21;08-2020;2020-08-31;IBOXHY Index;304,3347;Aug;8;2020;1,0022618;0,0022617579
19;07-2020;2020-07-31;IBOXHY Index;302,0731;Jul;7;2020;1,0074869;0,0074869394
16;06-2020;2020-06-30;IBOXHY Index;298,0113;Jun;6;2020;1,0136297;0,013629675
13;05-2020;2020-05-29;IBOXHY Index;289,028;May;5;2020;1,031081;0,031080961
10;04-2020;2020-04-30;IBOXHY Index;281,9966;Apr;4;2020;1,0249343;0,024934292
7;03-2020;2020-03-31;IBOXHY Index;303,198;Mar;3;2020;0,9300741;-0,069925904
4;02-2020;2020-02-28;IBOXHY Index;306,9686;Feb;2;2020;0,9877167;-0,012283325
1;01-2020;2020-01-31;IBOXHY Index;305,8193;Jan;1;2020;1,0037581;0,0037580729
32;12-2019;2019-12-31;IBOXHY Index;303,9883;Dec;12;2019;1,0060233;0,006023288
29;11-2019;2019-11-29;IBOXHY Index;298,2708;Nov;11;2019;1,0191689;0,019168854
26;10-2019;2019-10-31;IBOXHY Index;298,0723;Oct;10;2019;1,000666;0,0006660223
23;09-2019;2019-09-30;IBOXHY Index;296,9179;Sep;9;2019;1,0038879;0,0038878918
20;08-2019;2019-08-30;IBOXHY Index;294,9016;Aug;8;2019;1,0068371;0,0068371296
18;07-2019;2019-07-31;IBOXHY Index;293,616;Jul;7;2019;1,0043786;0,004378557
15;06-2019;2019-06-28;IBOXHY Index;292,421;Jun;6;2019;1,0040866;0,0040866137
12;05-2019;2019-05-31;IBOXHY Index;288,8249;May;5;2019;1,0124508;0,012450814
9;04-2019;2019-04-30;IBOXHY Index;288,6912;Apr;4;2019;1,0004631;0,0004631281
6;03-2019;2019-03-29;IBOXHY Index;285,0206;Mar;3;2019;1,0128783;0,012878299
3;02-2019;2019-02-28;IBOXHY Index;282,3163;Feb;2;2019;1,009579;0,009578943
0;01-2019;2019-01-31;IBOXHY Index;277,8147;Jan;1;2019;1,0162036;0,016203642
31;12-2018;2018-12-31;IBOXHY Index;272,2448;Dec;12;2018;1,020459;0,020459056
28;11-2018;2018-11-30;IBOXHY Index;274,5594;Nov;11;2018;0,9915699;-0,008430123
25;10-2018;2018-10-31;IBOXHY Index;277,6806;Oct;10;2018;0,9887597;-0,0112403035
22;09-2018;2018-09-28;IBOXHY Index;276,7841;Sep;9;2018;1,003239;0,0032390356
